,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
7,120.0,81.0,13.0,1117.0,1104,923,101.0,,0,0.0,2,18,-6.0,917.0,DTW,383.0,0,1401,0.0,1,0.0,IAD,0.0,N1799U,7.0,32.0,NW,0.0,2005
15,151.0,130.0,-14.0,2016.0,2030,1735,175.0,,0,0.0,6,1,10.0,1745.0,MIA,921.0,0,1145,0.0,1,0.0,IAD,0.0,N318UA,6.0,15.0,UA,0.0,2005
46,67.0,39.0,0.0,959.0,959,855,64.0,,0,0.0,1,10,-3.0,852.0,PIT,183.0,0,1221,0.0,1,0.0,IAD,0.0,N684BR,5.0,23.0,DH,0.0,2005
56,337.0,311.0,-4.0,1950.0,1954,1705,349.0,,0,0.0,2,11,8.0,1713.0,PDX,2327.0,0,467,0.0,1,0.0,IAD,0.0,N806UA,4.0,22.0,UA,0.0,2005
79,,,,,1823,1559,204.0,A,1,0.0,7,9,,,DFW,1172.0,0,1479,0.0,1,0.0,IAD,0.0,0,0.0,0.0,AA,0.0,2005
93,88.0,75.0,-22.0,2148.0,2210,2030,100.0,,0,0.0,1,31,-10.0,2020.0,PWM,494.0,0,1265,0.0,1,0.0,IAD,0.0,N683BR,3.0,10.0,DH,0.0,2005
121,322.0,123.0,-40.0,2215.0,2255,1955,360.0,,0,0.0,1,31,-2.0,1953.0,OAK,2408.0,0,321,0.0,1,0.0,IAD,0.0,N543JB,5.0,14.0,B6,0.0,2005
170,145.0,121.0,-10.0,834.0,844,611,153.0,,0,0.0,5,21,-2.0,609.0,MIA,921.0,0,971,0.0,1,0.0,IAD,0.0,N3CCAA,12.0,12.0,AA,0.0,2005
298,81.0,62.0,-17.0,845.0,902,730,92.0,,0,0.0,6,8,-6.0,724.0,MHT,418.0,0,1865,0.0,1,0.0,IAD,0.0,N688BR,3.0,16.0,DH,0.0,2005
457,123.0,104.0,-12.0,1543.0,1555,1440,135.0,,0,0.0,2,4,0.0,1440.0,ORD,589.0,0,281,0.0,1,0.0,IAD,0.0,N646UA,7.0,12.0,UA,0.0,2005
466,58.0,40.0,-18.0,1009.0,1027,915,72.0,,0,0.0,3,26,-4.0,911.0,RDU,224.0,0,1048,0.0,1,0.0,IAD,0.0,N667BR,2.0,16.0,DH,0.0,2005
498,72.0,53.0,-8.0,2238.0,2246,2120,86.0,,0,0.0,6,8,6.0,2126.0,PVD,372.0,0,1633,0.0,1,0.0,IAD,0.0,N667BR,4.0,15.0,DH,0.0,2005
516,131.0,111.0,-16.0,2352.0,8,2145,143.0,,0,0.0,3,26,-4.0,2141.0,TPA,810.0,0,1579,0.0,1,0.0,IAD,0.0,N459UA,2.0,18.0,UA,0.0,2005
549,,,,,1016,855,81.0,A,1,0.0,7,16,,,PVD,372.0,0,1627,0.0,1,0.0,IAD,0.0,N664BR,0.0,0.0,DH,0.0,2005
819,127.0,103.0,-7.0,1102.0,1109,855,134.0,,0,0.0,1,3,0.0,855.0,MCO,758.0,0,7,0.0,1,0.0,IAD,0.0,N805BR,6.0,18.0,DH,0.0,2005
913,82.0,54.0,1.0,942.0,941,820,81.0,,0,0.0,7,2,0.0,820.0,PVD,372.0,0,1627,0.0,1,0.0,IAD,0.0,N693BR,3.0,25.0,DH,0.0,2005
947,98.0,76.0,0.0,2215.0,2215,2045,90.0,,0,0.0,4,27,-8.0,2037.0,SDF,451.0,0,1575,0.0,1,0.0,IAD,0.0,N684BR,4.0,17.0,DH,0.0,2005
1002,121.0,97.0,14.0,1306.0,1252,1035,137.0,,0,0.0,1,24,30.0,1105.0,MCO,758.0,0,1559,0.0,1,0.0,IAD,0.0,N471UA,4.0,20.0,UA,0.0,2005
1327,83.0,60.0,-1.0,1315.0,1316,1155,81.0,,0,0.0,2,4,-3.0,1152.0,GSP,383.0,0,1851,0.0,1,0.0,IAD,0.0,N680BR,4.0,18.0,DH,0.0,2005
1361,84.0,66.0,-4.0,921.0,925,800,85.0,,0,0.0,5,7,-3.0,757.0,GSP,383.0,0,1849,0.0,1,0.0,IAD,0.0,N659BR,2.0,16.0,DH,0.0,2005
1439,85.0,51.0,-11.0,1839.0,1850,1720,90.0,,0,0.0,2,25,-6.0,1714.0,CLE,288.0,0,1845,0.0,1,0.0,IAD,0.0,N677BR,6.0,28.0,DH,0.0,2005
1461,115.0,91.0,62.0,2256.0,2154,2000,114.0,,0,0.0,4,6,61.0,2101.0,ATL,533.0,0,893,0.0,1,62.0,IAD,0.0,N383DN,8.0,16.0,DL,0.0,2005
1487,115.0,96.0,10.0,1747.0,1737,1645,112.0,,0,0.0,4,6,7.0,1652.0,BNA,542.0,0,1810,0.0,1,0.0,IAD,0.0,N675BR,6.0,13.0,DH,0.0,2005
1505,66.0,52.0,-9.0,1656.0,1705,1550,75.0,,0,0.0,2,25,0.0,1550.0,BUF,284.0,0,1296,0.0,1,0.0,IAD,0.0,N663BR,3.0,11.0,DH,0.0,2005
1509,212.0,193.0,74.0,1300.0,1146,710,216.0,,0,74.0,1,10,78.0,828.0,SJU,1571.0,0,1845,0.0,1,0.0,IAD,0.0,N5EGAA,2.0,17.0,AA,0.0,2005
1558,65.0,40.0,17.0,2307.0,2250,2130,80.0,,0,5.0,3,12,32.0,2202.0,SYR,296.0,0,1557,12.0,1,0.0,IAD,0.0,N659BR,4.0,20.0,DH,0.0,2005
1575,59.0,42.0,-10.0,2140.0,2150,2045,65.0,,0,0.0,7,9,-4.0,2041.0,CRW,227.0,0,1893,0.0,1,0.0,IAD,0.0,N633BR,1.0,15.0,DH,0.0,2005
1576,128.0,104.0,-14.0,1632.0,1646,1429,137.0,,0,0.0,2,18,-5.0,1424.0,MCO,758.0,0,1555,0.0,1,0.0,IAD,0.0,N470UA,5.0,19.0,UA,0.0,2005
1617,326.0,307.0,53.0,2021.0,1928,1627,361.0,,0,53.0,7,30,88.0,1755.0,SFO,2419.0,0,937,0.0,1,0.0,IAD,0.0,N404UA,7.0,12.0,UA,0.0,2005
1629,68.0,36.0,-2.0,1700.0,1702,1555,67.0,,0,0.0,5,21,-3.0,1552.0,ORF,157.0,0,1762,0.0,1,0.0,IAD,0.0,N623BR,2.0,29.0,DH,0.0,2005
1701,118.0,84.0,4.0,2313.0,2309,2115,114.0,,0,0.0,3,5,0.0,2115.0,ATL,533.0,0,1216,0.0,1,0.0,IAD,0.0,N691BR,7.0,27.0,DH,0.0,2005
1731,100.0,76.0,1.0,910.0,909,730,99.0,,0,0.0,6,29,0.0,730.0,CHS,441.0,0,1619,0.0,1,0.0,IAD,0.0,N681BR,6.0,18.0,DH,0.0,2005
1733,91.0,70.0,-9.0,1009.0,1018,845,93.0,,0,0.0,2,18,-7.0,838.0,TYS,419.0,0,1502,0.0,1,0.0,IAD,0.0,N696BR,2.0,19.0,DH,0.0,2005
1737,138.0,107.0,-6.0,1113.0,1119,855,144.0,,0,0.0,1,24,0.0,855.0,TPA,810.0,0,1571,0.0,1,0.0,IAD,0.0,N483UA,4.0,27.0,UA,0.0,2005
1743,93.0,52.0,94.0,2121.0,1947,1830,77.0,,0,0.0,3,19,78.0,1948.0,CLE,288.0,0,2145,78.0,1,16.0,IAD,0.0,N14938,9.0,32.0,XE,0.0,2005
1881,62.0,39.0,-13.0,1715.0,1728,1615,73.0,,0,0.0,5,28,-2.0,1613.0,RDU,224.0,0,1056,0.0,1,0.0,IAD,0.0,N708BR,3.0,19.0,DH,0.0,2005
1884,79.0,58.0,-16.0,1745.0,1801,1635,86.0,,0,0.0,4,20,-9.0,1626.0,PVD,372.0,0,1631,0.0,1,0.0,IAD,0.0,N697BR,2.0,19.0,DH,0.0,2005
1946,62.0,46.0,-30.0,1453.0,1523,1355,88.0,,0,0.0,2,25,-4.0,1351.0,SYR,296.0,0,1554,0.0,1,0.0,IAD,0.0,N686BR,4.0,11.0,DH,0.0,2005
1953,,,,,1910,1755,135.0,C,1,0.0,3,19,,,ORD,589.0,0,1172,0.0,1,0.0,IAD,0.0,N695BR,0.0,0.0,DH,0.0,2005
2081,136.0,116.0,6.0,1351.0,1345,1230,135.0,,0,0.0,7,23,5.0,1235.0,ORD,589.0,0,1160,0.0,1,0.0,IAD,0.0,N675BR,4.0,16.0,DH,0.0,2005
2087,57.0,33.0,-10.0,1347.0,1357,1250,67.0,,0,0.0,7,23,0.0,1250.0,PIT,183.0,0,1223,0.0,1,0.0,IAD,0.0,N685BR,8.0,16.0,DH,0.0,2005
2147,114.0,92.0,0.0,1354.0,1354,1200,114.0,,0,0.0,4,13,0.0,1200.0,ATL,533.0,0,1526,0.0,1,0.0,IAD,0.0,N918DL,10.0,12.0,DL,0.0,2005
2163,357.0,340.0,-12.0,944.0,956,650,366.0,,0,0.0,5,21,-3.0,647.0,SFO,2419.0,0,837,0.0,1,0.0,IAD,0.0,N823UA,4.0,13.0,UA,0.0,2005
2164,112.0,82.0,9.0,2224.0,2215,2045,90.0,,0,0.0,3,12,-13.0,2032.0,SDF,451.0,0,1575,0.0,1,0.0,IAD,0.0,N668BR,5.0,25.0,DH,0.0,2005
2171,161.0,128.0,-7.0,1142.0,1149,905,164.0,,0,0.0,1,17,-4.0,901.0,FLL,901.0,0,1541,0.0,1,0.0,IAD,0.0,N494UA,5.0,28.0,UA,0.0,2005
2197,130.0,109.0,-8.0,1444.0,1452,1235,137.0,,0,0.0,4,6,-1.0,1234.0,MCO,758.0,0,1561,0.0,1,0.0,IAD,0.0,N492UA,5.0,16.0,UA,0.0,2005
2206,112.0,93.0,-7.0,1730.0,1737,1645,112.0,,0,0.0,4,20,-7.0,1638.0,BNA,542.0,0,1810,0.0,1,0.0,IAD,0.0,N630BR,5.0,14.0,DH,0.0,2005
2238,293.0,270.0,11.0,1756.0,1745,1500,285.0,,0,0.0,7,2,3.0,1503.0,SLC,1827.0,0,569,0.0,1,0.0,IAD,0.0,N371DA,7.0,16.0,DL,0.0,2005
2298,86.0,61.0,-9.0,2208.0,2217,2045,92.0,,0,0.0,4,6,-3.0,2042.0,BTV,442.0,0,1404,0.0,1,0.0,IAD,0.0,N708BR,4.0,20.0,DH,0.0,2005
2327,68.0,45.0,22.0,2221.0,2159,2045,74.0,,0,0.0,1,3,28.0,2113.0,ROC,289.0,0,1610,22.0,1,0.0,IAD,0.0,N652BR,2.0,20.0,DH,0.0,2005
2348,106.0,92.0,-22.0,2227.0,2249,2145,124.0,,0,0.0,6,8,-4.0,2141.0,ORD,589.0,0,363,0.0,1,0.0,IAD,0.0,N386UA,4.0,10.0,UA,0.0,2005
2390,91.0,67.0,-5.0,1241.0,1246,1115,91.0,,0,0.0,3,12,-5.0,1110.0,TYS,419.0,0,1501,0.0,1,0.0,IAD,0.0,N693BR,8.0,16.0,DH,0.0,2005
2397,102.0,82.0,29.0,1235.0,1206,1120,106.0,,0,29.0,6,1,33.0,1153.0,BNA,542.0,0,1808,0.0,1,0.0,IAD,0.0,N622BR,4.0,16.0,DH,0.0,2005
2414,157.0,127.0,-3.0,1042.0,1045,810,155.0,,0,0.0,3,12,-5.0,805.0,FLL,901.0,0,301,0.0,1,0.0,IAD,0.0,N533JB,2.0,28.0,B6,0.0,2005
2438,79.0,38.0,1.0,1412.0,1411,1300,71.0,,0,0.0,2,11,-7.0,1253.0,EWR,213.0,0,3428,0.0,1,0.0,IAD,0.0,N14505,15.0,26.0,XE,0.0,2005
2521,129.0,105.0,10.0,2110.0,2100,1900,120.0,,0,0.0,6,22,1.0,1901.0,ATL,533.0,0,1009,0.0,1,0.0,IAD,0.0,N985DL,6.0,18.0,DL,0.0,2005
2534,63.0,48.0,-22.0,1532.0,1554,1430,84.0,,0,0.0,7,9,-1.0,1429.0,EWR,213.0,0,1019,0.0,1,0.0,IAD,0.0,N642BR,5.0,10.0,DH,0.0,2005
2655,74.0,52.0,-1.0,959.0,1000,845,75.0,,0,0.0,2,25,0.0,845.0,LGA,229.0,0,846,0.0,1,0.0,IAD,0.0,N349UA,4.0,18.0,UA,0.0,2005
2664,73.0,46.0,-8.0,2146.0,2154,2040,74.0,,0,0.0,5,7,-7.0,2033.0,ROC,289.0,0,1610,0.0,1,0.0,IAD,0.0,N662BR,5.0,22.0,DH,0.0,2005
2668,70.0,55.0,-14.0,1035.0,1049,930,79.0,,0,0.0,4,20,-5.0,925.0,BDL,326.0,0,1738,0.0,1,0.0,IAD,0.0,N626BR,1.0,14.0,DH,0.0,2005
2702,103.0,83.0,-27.0,1658.0,1725,1525,120.0,,0,0.0,2,4,-10.0,1515.0,ATL,533.0,0,1204,0.0,1,0.0,IAD,0.0,N635BR,5.0,15.0,DH,0.0,2005
2876,55.0,40.0,10.0,2247.0,2237,2125,72.0,,0,0.0,2,4,27.0,2152.0,RDU,224.0,0,1064,0.0,1,0.0,IAD,0.0,N670BR,3.0,12.0,DH,0.0,2005
2893,108.0,81.0,-15.0,1715.0,1730,1530,120.0,,0,0.0,7,2,-3.0,1527.0,ATL,533.0,0,1204,0.0,1,0.0,IAD,0.0,N697BR,6.0,21.0,DH,0.0,2005
2987,362.0,331.0,26.0,1201.0,1135,900,335.0,,0,0.0,1,10,-1.0,859.0,LAX,2288.0,0,149,0.0,1,26.0,IAD,0.0,N3BYAA,7.0,24.0,AA,0.0,2005
3060,96.0,75.0,-16.0,2014.0,2030,1845,105.0,,0,0.0,3,26,-7.0,1838.0,CHS,441.0,0,1624,0.0,1,0.0,IAD,0.0,N655BR,3.0,18.0,DH,0.0,2005
3103,80.0,63.0,-12.0,1421.0,1433,1300,93.0,,0,0.0,1,10,1.0,1301.0,BOS,413.0,0,702,0.0,1,0.0,IAD,0.0,N533UA,5.0,12.0,UA,0.0,2005
3203,82.0,65.0,-12.0,1756.0,1808,1627,101.0,,0,0.0,6,29,7.0,1634.0,BOS,413.0,0,980,0.0,1,0.0,IAD,0.0,N382UA,7.0,10.0,UA,0.0,2005
3215,93.0,66.0,44.0,2344.0,2300,2130,90.0,,0,0.0,3,19,41.0,2211.0,DTW,383.0,0,1821,41.0,1,3.0,IAD,0.0,N658BR,4.0,23.0,DH,0.0,2005
3230,131.0,98.0,56.0,1117.0,1021,920,121.0,,0,47.0,7,2,46.0,1006.0,ORD,589.0,0,1156,0.0,1,9.0,IAD,0.0,N635BR,5.0,27.0,DH,0.0,2005
3388,73.0,45.0,-6.0,1703.0,1709,1550,79.0,,0,0.0,2,4,0.0,1550.0,ROC,289.0,0,1608,0.0,1,0.0,IAD,0.0,N680BR,3.0,25.0,DH,0.0,2005
3426,332.0,133.0,28.0,2323.0,2255,1955,360.0,,0,25.0,1,24,56.0,2051.0,OAK,2408.0,0,321,3.0,1,0.0,IAD,0.0,N523JB,6.0,13.0,B6,0.0,2005
3474,365.0,344.0,-3.0,2039.0,2042,1740,362.0,,0,0.0,4,27,-6.0,1734.0,SJC,2400.0,0,237,0.0,1,0.0,IAD,0.0,N801UA,4.0,17.0,UA,0.0,2005
3552,309.0,287.0,3.0,1909.0,1906,1650,316.0,,0,0.0,4,20,10.0,1700.0,LAS,2066.0,0,1553,0.0,1,0.0,IAD,0.0,N494UA,4.0,18.0,UA,0.0,2005
3568,73.0,49.0,-8.0,1312.0,1320,1200,80.0,,0,0.0,1,24,-1.0,1159.0,JFK,228.0,0,1082,0.0,1,0.0,IAD,0.0,N692BR,10.0,14.0,DH,0.0,2005
3575,213.0,176.0,-8.0,2000.0,2008,1730,218.0,,0,0.0,2,11,-3.0,1727.0,DFW,1172.0,0,521,0.0,1,0.0,IAD,0.0,N371UA,11.0,26.0,UA,0.0,2005
3792,95.0,80.0,-20.0,1041.0,1101,915,106.0,,0,0.0,2,11,-9.0,906.0,SAV,515.0,0,1248,0.0,1,0.0,IAD,0.0,N627BR,3.0,11.0,DH,0.0,2005
3940,68.0,54.0,-1.0,1717.0,1718,1600,78.0,,0,0.0,1,3,9.0,1609.0,CMH,299.0,0,1493,0.0,1,0.0,IAD,0.0,N679BR,3.0,10.0,DH,0.0,2005
3947,79.0,63.0,-10.0,1357.0,1407,1245,82.0,,0,0.0,2,25,-7.0,1238.0,BDL,326.0,0,1739,0.0,1,0.0,IAD,0.0,N693BR,3.0,13.0,DH,0.0,2005
3980,90.0,53.0,9.0,1915.0,1906,1750,76.0,,0,0.0,2,25,-5.0,1745.0,CMH,299.0,0,1494,0.0,1,0.0,IAD,0.0,N703BR,3.0,34.0,DH,0.0,2005
4014,105.0,82.0,10.0,1851.0,1841,1655,106.0,,0,0.0,1,17,11.0,1706.0,SAV,515.0,0,1252,0.0,1,0.0,IAD,0.0,N662BR,4.0,19.0,DH,0.0,2005
4171,126.0,94.0,3.0,901.0,858,705,113.0,,0,0.0,4,27,-10.0,655.0,ATL,533.0,0,1190,0.0,1,0.0,IAD,0.0,N654BR,5.0,27.0,DH,0.0,2005
4172,,,,,1345,1230,135.0,C,1,0.0,2,11,,,ORD,589.0,0,1160,0.0,1,0.0,IAD,0.0,N667BR,0.0,0.0,DH,0.0,2005
4179,123.0,79.0,24.0,1123.0,1059,920,99.0,,0,0.0,6,22,0.0,920.0,CHS,441.0,0,1620,0.0,1,24.0,IAD,0.0,N643BR,5.0,39.0,DH,0.0,2005
4402,65.0,39.0,-13.0,1014.0,1027,915,72.0,,0,0.0,4,27,-6.0,909.0,RDU,224.0,0,1048,0.0,1,0.0,IAD,0.0,N627BR,2.0,23.0,DH,0.0,2005
4465,119.0,84.0,41.0,1134.0,1053,900,113.0,,0,35.0,6,15,35.0,935.0,ATL,533.0,0,4624,0.0,1,6.0,IAD,0.0,N708EV,7.0,28.0,EV,0.0,2005
4500,253.0,216.0,10.0,1929.0,1919,1720,239.0,,0,0.0,2,11,-4.0,1716.0,DEN,1452.0,0,903,0.0,1,0.0,IAD,0.0,N778UA,9.0,28.0,UA,0.0,2005
4573,85.0,72.0,-25.0,2145.0,2210,2030,100.0,,0,0.0,4,27,-10.0,2020.0,PWM,494.0,0,1265,0.0,1,0.0,IAD,0.0,N689BR,2.0,11.0,DH,0.0,2005
4663,,,,,1210,1050,80.0,B,1,0.0,4,13,,,JFK,228.0,0,1080,0.0,1,0.0,IAD,0.0,N701BR,0.0,0.0,DH,0.0,2005
4693,115.0,101.0,-5.0,1305.0,1310,1215,115.0,,0,0.0,6,8,-5.0,1210.0,HSV,595.0,0,1431,0.0,1,0.0,IAD,0.0,N643BR,2.0,12.0,DH,0.0,2005
4717,,,,,925,810,75.0,A,1,0.0,3,5,,,ROC,289.0,0,1604,0.0,1,0.0,IAD,0.0,N683BR,0.0,0.0,DH,0.0,2005
4829,77.0,56.0,-13.0,1817.0,1830,1700,90.0,,0,0.0,6,1,0.0,1700.0,BDL,326.0,0,742,0.0,1,0.0,IAD,0.0,N313UA,6.0,15.0,UA,0.0,2005
4834,386.0,305.0,29.0,1149.0,1120,820,360.0,,0,0.0,1,31,3.0,823.0,SFO,2419.0,0,869,0.0,1,29.0,IAD,0.0,N559UA,9.0,72.0,UA,0.0,2005
4863,78.0,61.0,-20.0,1227.0,1247,1115,92.0,,0,0.0,6,1,-6.0,1109.0,BOS,413.0,0,1123,0.0,1,0.0,IAD,0.0,N633BR,4.0,13.0,DH,0.0,2005
4958,94.0,72.0,-12.0,1752.0,1804,1619,105.0,,0,0.0,6,1,-1.0,1618.0,CVG,388.0,0,5679,0.0,1,0.0,IAD,0.0,N914CA,2.0,20.0,OH,0.0,2005
5016,91.0,73.0,-12.0,2241.0,2253,2115,98.0,,0,0.0,3,26,-5.0,2110.0,CHS,441.0,0,1625,0.0,1,0.0,IAD,0.0,N667BR,4.0,14.0,DH,0.0,2005
5095,105.0,81.0,-2.0,934.0,936,845,111.0,,0,0.0,1,24,4.0,849.0,BNA,542.0,0,1807,0.0,1,0.0,IAD,0.0,N662BR,5.0,19.0,DH,0.0,2005
5254,104.0,39.0,32.0,1644.0,1612,1500,72.0,,0,0.0,7,9,0.0,1500.0,EWR,213.0,0,3336,0.0,1,32.0,IAD,0.0,N11127,5.0,60.0,XE,0.0,2005
5264,101.0,74.0,25.0,1835.0,1810,1625,105.0,,0,0.0,1,3,29.0,1654.0,CHS,441.0,0,1623,25.0,1,0.0,IAD,0.0,N673BR,13.0,13.0,DH,0.0,2005
5279,98.0,83.0,-16.0,1451.0,1507,1415,112.0,,0,0.0,1,3,-2.0,1413.0,BNA,542.0,0,1809,0.0,1,0.0,IAD,0.0,N683BR,4.0,10.0,DH,0.0,2005
5281,379.0,335.0,24.0,2106.0,2042,1740,362.0,,0,7.0,4,13,7.0,1747.0,SJC,2400.0,0,237,0.0,1,17.0,IAD,0.0,N849UA,5.0,39.0,UA,0.0,2005
5292,94.0,68.0,-9.0,2156.0,2205,2030,95.0,,0,0.0,4,20,-8.0,2022.0,TYS,419.0,0,1506,0.0,1,0.0,IAD,0.0,N620BR,2.0,24.0,DH,0.0,2005
5324,,,,,1259,1125,94.0,A,1,0.0,4,27,,,CVG,388.0,0,5799,0.0,1,0.0,IAD,0.0,N805CA,0.0,0.0,OH,0.0,2005
5342,91.0,71.0,-3.0,1549.0,1552,1420,92.0,,0,0.0,2,18,-2.0,1418.0,BOS,413.0,0,1129,0.0,1,0.0,IAD,0.0,N648BR,5.0,15.0,DH,0.0,2005
5349,108.0,71.0,17.0,1338.0,1321,1150,91.0,,0,1.0,5,28,0.0,1150.0,MHT,418.0,0,1867,0.0,1,16.0,IAD,0.0,N708BR,7.0,30.0,DH,0.0,2005
5360,85.0,62.0,-17.0,1749.0,1806,1625,101.0,,0,0.0,4,27,-1.0,1624.0,BOS,413.0,0,980,0.0,1,0.0,IAD,0.0,N416UA,11.0,12.0,UA,0.0,2005
5391,304.0,274.0,3.0,1939.0,1936,1641,295.0,,0,0.0,2,25,-6.0,1635.0,PHX,1956.0,0,247,0.0,1,0.0,IAD,0.0,N834AW,5.0,25.0,HP,0.0,2005
5417,76.0,58.0,5.0,2251.0,2246,2120,86.0,,0,0.0,1,17,15.0,2135.0,PVD,372.0,0,1633,0.0,1,0.0,IAD,0.0,N693BR,2.0,16.0,DH,0.0,2005
5447,75.0,53.0,-15.0,1800.0,1815,1645,90.0,,0,0.0,1,10,0.0,1645.0,CLT,321.0,0,1440,0.0,1,0.0,IAD,0.0,N656BR,5.0,17.0,DH,0.0,2005
5505,98.0,80.0,-19.0,2250.0,2309,2115,114.0,,0,0.0,2,11,-3.0,2112.0,ATL,533.0,0,1216,0.0,1,0.0,IAD,0.0,N688BR,6.0,11.0,DH,0.0,2005
5533,113.0,84.0,-8.0,1047.0,1055,900,115.0,,0,0.0,4,20,-6.0,854.0,JAX,631.0,0,1521,0.0,1,0.0,IAD,0.0,N633BR,3.0,25.0,DH,0.0,2005
5562,59.0,36.0,-28.0,2035.0,2103,1945,78.0,,0,0.0,4,20,-9.0,1936.0,PIT,183.0,0,1274,0.0,1,0.0,IAD,0.0,N686BR,6.0,16.0,DH,0.0,2005
5610,238.0,213.0,12.0,1454.0,1442,1235,247.0,,0,0.0,5,7,21.0,1256.0,DEN,1452.0,0,354,0.0,1,0.0,IAD,0.0,N395UA,5.0,20.0,UA,0.0,2005
5656,56.0,40.0,44.0,2151.0,2107,1955,72.0,,0,0.0,4,6,60.0,2055.0,RDU,224.0,0,1062,44.0,1,0.0,IAD,0.0,N664BR,3.0,12.0,DH,0.0,2005
5777,87.0,62.0,-23.0,734.0,757,620,97.0,,0,0.0,1,31,-13.0,607.0,DTW,383.0,0,1405,0.0,1,0.0,IAD,0.0,N963N,9.0,16.0,NW,0.0,2005
5896,318.0,301.0,-14.0,1338.0,1352,1120,332.0,,0,0.0,6,15,0.0,1120.0,LAX,2288.0,0,143,0.0,1,0.0,IAD,0.0,N3CLAA,7.0,10.0,AA,0.0,2005
5901,101.0,78.0,-4.0,1531.0,1535,1350,105.0,,0,0.0,6,29,0.0,1350.0,CHS,441.0,0,1622,0.0,1,0.0,IAD,0.0,N624BR,6.0,16.0,DH,0.0,2005
5904,83.0,68.0,-13.0,2152.0,2205,2030,95.0,,0,0.0,6,15,-1.0,2029.0,TYS,419.0,0,1506,0.0,1,0.0,IAD,0.0,N691BR,2.0,12.0,DH,0.0,2005
5914,197.0,170.0,4.0,1453.0,1449,1245,184.0,,0,0.0,2,4,-9.0,1236.0,IAH,1190.0,0,2085,0.0,1,0.0,IAD,0.0,N13118,8.0,19.0,XE,0.0,2005
5928,348.0,317.0,-17.0,2137.0,2154,1851,363.0,,0,0.0,5,28,-2.0,1849.0,SFO,2419.0,0,187,0.0,1,0.0,IAD,0.0,N464UA,13.0,18.0,UA,0.0,2005
5969,69.0,50.0,-23.0,1502.0,1525,1400,85.0,,0,0.0,6,1,-7.0,1353.0,CLT,321.0,0,1439,0.0,1,0.0,IAD,0.0,N685BR,6.0,13.0,DH,0.0,2005
5980,60.0,35.0,-6.0,928.0,934,830,64.0,,0,0.0,7,2,-2.0,828.0,PIT,183.0,0,1221,0.0,1,0.0,IAD,0.0,N697BR,2.0,23.0,DH,0.0,2005
6124,130.0,105.0,11.0,1704.0,1653,1500,113.0,,0,0.0,7,16,-6.0,1454.0,ATL,533.0,0,57,0.0,1,0.0,IAD,0.0,N915AT,9.0,16.0,FL,0.0,2005
6159,70.0,54.0,-17.0,1707.0,1724,1605,79.0,,0,0.0,1,3,-8.0,1557.0,CLT,321.0,0,983,0.0,1,0.0,IAD,0.0,N375US,3.0,13.0,US,0.0,2005
6210,61.0,41.0,-10.0,1410.0,1420,1310,70.0,,0,0.0,7,2,-1.0,1309.0,GSO,239.0,0,1786,0.0,1,0.0,IAD,0.0,N696BR,3.0,17.0,DH,0.0,2005
6284,105.0,85.0,-10.0,715.0,725,530,115.0,,0,0.0,2,25,0.0,530.0,JAX,631.0,0,5427,0.0,1,0.0,IAD,0.0,N798CA,5.0,15.0,OH,0.0,2005
6361,279.0,207.0,118.0,2204.0,2006,1810,176.0,,0,0.0,5,21,15.0,1825.0,MSP,908.0,0,165,15.0,1,103.0,IAD,0.0,N365NW,42.0,30.0,NW,0.0,2005
6498,,,,,1503,1350,73.0,A,1,0.0,5,7,,,CMH,299.0,0,1492,0.0,1,0.0,IAD,0.0,N623BR,0.0,0.0,DH,0.0,2005
6514,110.0,83.0,12.0,1811.0,1759,1621,98.0,,0,0.0,1,3,0.0,1621.0,DTW,383.0,0,1409,0.0,1,0.0,IAD,0.0,N1332U,14.0,13.0,NW,0.0,2005
6570,57.0,35.0,-19.0,1651.0,1710,1600,70.0,,0,0.0,3,12,-6.0,1554.0,PIT,183.0,0,1225,0.0,1,0.0,IAD,0.0,N675BR,4.0,18.0,DH,0.0,2005
6672,342.0,298.0,2.0,2039.0,2037,1800,337.0,,0,0.0,7,30,-3.0,1757.0,LAX,2288.0,0,75,0.0,1,0.0,IAD,0.0,N3CPAA,11.0,33.0,AA,0.0,2005
6723,,,,,1345,1233,132.0,B,1,0.0,6,22,,,ORD,589.0,0,923,0.0,1,0.0,IAD,0.0,000000,0.0,0.0,UA,0.0,2005
6756,340.0,316.0,15.0,1407.0,1352,1120,332.0,,0,7.0,7,16,7.0,1127.0,LAX,2288.0,0,143,0.0,1,8.0,IAD,0.0,N3BXAA,13.0,11.0,AA,0.0,2005
6824,,,,,1353,1215,98.0,,0,0.0,3,12,-7.0,1208.0,DTW,383.0,1,1817,0.0,1,0.0,IAD,0.0,N660BR,0.0,20.0,DH,0.0,2005
6850,87.0,54.0,2.0,2257.0,2255,2130,85.0,,0,0.0,4,27,0.0,2130.0,HPN,247.0,0,1750,0.0,1,0.0,IAD,0.0,N665BR,4.0,29.0,DH,0.0,2005
